poi_id,名称,类型,类型名,地址,经度_gcj02,纬度_gcj02,经度_wgs84,纬度_wgs84
B0KK11DSSZ,万古东尚(高山流水和城店),120302,商务住宅;住宅区;住宅小区,高山流水和城小区底商万古东尚理发店,108.893785,34.200692,108.887285,34.194692
B001D0WC5A,万家灯火,120302,商务住宅;住宅区;住宅小区,丈八六路2号,108.855898,34.203416,108.849398,34.197416
B001D088UZ,万强艺术家,120302,商务住宅;住宅区;住宅小区,西二环南段10号(金光门地铁站D口步行300米),108.888622,34.255035,108.882122,34.249035
B0K6HSED7E,万景·荔公馆,120302,商务住宅;住宅区;住宅小区,学府大街352号,108.905542,34.145377,108.899042,34.139377
B0FFGFN962,万景·荔知湾,120302,商务住宅;住宅区;住宅小区,子午大道与学府大街路口东,108.906135,34.146541,108.899635,34.140541
B0LGTMWGO0,万景·荔知湾三期,120302,商务住宅;住宅区;住宅小区,学府大街与兰台路交叉口南400米,108.906998,34.145079,108.900498,34.139079
B0K0TAMCW6,万景知寓,120302,商务住宅;住宅区;住宅小区,学府大街358号,108.904734,34.148120,108.898234,34.142120
B001D0WP08,万福大厦,120203,商务住宅;楼宇;商住两用楼宇,西关正街南小巷副27号,108.916020,34.256546,108.909520,34.250546
B0GRGLP1KH,万科·云谷(建设中),120100,商务住宅;产业园区;产业园区,瞪羚一路与瞪羚路交叉口西南180米,108.861181,34.200127,108.854681,34.194127
B0FFL9WF19,万科·云谷体验中心,120000|070000,商务住宅;商务住宅相关;商务住宅相关|生活服务;生活服务场所;生活服务场所,万科·云谷11号楼,108.861461,34.201287,108.854961,34.195287
B0FFJRW6ML,万科城如园,120302,商务住宅;住宅区;住宅小区,西长安街辅路与书香路交叉口东北200米,108.900082,34.158781,108.893582,34.152781
B0JRLU6TTM,万科城如园A区,120302,商务住宅;住宅区;住宅小区,子午大道与清渠街交叉口西140米,108.902534,34.160535,108.896034,34.154535
B0IDUDYAMD,万科城如园B区(建设中),120302,商务住宅;住宅区;住宅小区,子午大道168号,108.900876,34.158883,108.894376,34.152883
B0FFHCDA23,万科城润园,120302,商务住宅;住宅区;住宅小区,学府大街与居安路交叉口东南角,108.886554,34.145170,108.880054,34.139170
B0FFGZ04M6,万科汇智中心,120201,商务住宅;楼宇;商务写字楼,西沣北路与西沣三路交叉口东北160米,108.885439,34.179898,108.878939,34.173898
B0LR01OQ1D,万科汇智中心1号楼,120201,商务住宅;楼宇;商务写字楼,西沣北路与锦业二路辅路交叉口南220米,108.885725,34.180475,108.879225,34.174475
B0FFJ6INGS,万科翡翠国宾,120302,商务住宅;住宅区;住宅小区,科技七路22号,108.874458,34.206903,108.867958,34.200903
B0I1BSTKIP,万科翡翠国宾东区,120302,商务住宅;住宅区;住宅小区,科技七路22号,108.875845,34.206419,108.869345,34.200419
B0I1KC035U,万科翡翠国宾北区,120302,商务住宅;住宅区;住宅小区,丈八北路33号,108.875070,34.209034,108.868570,34.203034
B0I1BSU7FM,万科翡翠国宾西区,120302,商务住宅;住宅区;住宅小区,丈八东路,108.872751,34.206412,108.866251,34.200412
B0FFGZIMBB,万科翡翠天誉,120302,商务住宅;住宅区;住宅小区,科技二路80号,108.869409,34.224137,108.862909,34.218137
B0G35ZUIRL,万科金域国际,120203,商务住宅;楼宇;商住两用楼宇,雁塔区高新区高新一路40号,108.893892,34.220345,108.887392,34.214345
B0FFM1TVYJ,万科金域国际B座,120201,商务住宅;楼宇;商务写字楼,高新一路南段与科技四路交叉口北160米,108.894070,34.220427,108.887570,34.214427
B0L3H78E2B,万科金域国际商业项目,120300,商务住宅;住宅区;住宅区,高新一路南段与科技三路交叉口西80米,108.894574,34.221270,108.888074,34.215270
B0FFFH94KN,万科高新华府,120302,商务住宅;住宅区;住宅小区,西沣路与西沣二路交汇处东北角(高新一中国际部东对面),108.889270,34.180366,108.882770,34.174366
B0KKSU4B5F,万科高新华府1期,120302,商务住宅;住宅区;住宅小区,西沣北路与西沣三路交叉口东北200米,108.885855,34.179902,108.879355,34.173902
B0KD7UVNNM,万科高新华府2期,120302,商务住宅;住宅区;住宅小区,西沣路56号,108.887778,34.179950,108.881278,34.173950
B0FFGA48ZA,万象汇,120201,商务住宅;楼宇;商务写字楼,高新六路21号CROSS万象汇,108.877473,34.227255,108.870973,34.221255
B0L3RBMP93,万象汇T2,120201,商务住宅;楼宇;商务写字楼,科技一路与高新六路交叉口东100米,108.878197,34.227996,108.871697,34.221996
B0L2S45DXE,万象汇T3,120201,商务住宅;楼宇;商务写字楼,科技一路与高新六路交叉口东140米,108.878622,34.227987,108.872122,34.221987
B0L32R40K2,万象汇T6,120000,商务住宅;商务住宅相关;商务住宅相关,高新六路与科技一路交叉口东南160米,108.878201,34.227064,108.871701,34.221064
B0FFIZNR6Y,万达·天樾,120302,商务住宅;住宅区;住宅小区,高新路1219号,108.893716,34.202300,108.887216,34.196300
B0JRGAZ4ST,万达·天樾一期,120302,商务住宅;住宅区;住宅小区,永阳一巷与高阁巷交叉口西80米,108.894577,34.202284,108.888077,34.196284
B0FFLANR7O,万达·天樾一期北区,120302,商务住宅;住宅区;住宅小区,高新路1107号,108.894583,34.202940,108.888083,34.196940
B0FFKFV9T9,万达·天樾一期南区,120302,商务住宅;住宅区;住宅小区,高新路1219号(省体育馆地铁站C口步行460米),108.894567,34.201329,108.888067,34.195329
B0IR35L4Z6,万达·天樾二期,120302,商务住宅;住宅区;住宅小区,永阳一巷与高新路交叉口西北80米,108.892776,34.202372,108.886276,34.196372
B0FFLJYNK4,万达·天樾二期北区,120302,商务住宅;住宅区;住宅小区,高新路1106号,108.892798,34.202957,108.886298,34.196957
B0FFM5SW9J,万达·天樾二期南区,120302,商务住宅;住宅区;住宅小区,高新路与永阳二巷交叉口西北100米,108.892710,34.201273,108.886210,34.195273
B0HAO7IYMS,万达·天鼎,120302,商务住宅;住宅区;住宅小区,唐延路与科技六路十字交汇处(东南角),108.891782,34.210418,108.885282,34.204418
B0LA5CSQM5,万达天宸,120302,商务住宅;住宅区;住宅小区,高新路与科技八路辅路交叉口东北120米,108.894365,34.206143,108.887865,34.200143
B0FFL767W0,万达天玺小区,120302,商务住宅;住宅区;住宅小区,,108.892037,34.206666,108.885537,34.200666
B0LGTBTQYY,万达广场(高新店)-12号楼,120201,商务住宅;楼宇;商务写字楼,万达西安one,108.892532,34.208083,108.886032,34.202083
B0FFHKDWEL,万达西安one,120203|060000,商务住宅;楼宇;商住两用楼宇|购物服务;购物相关场所;购物相关场所,唐延路与科技七路交汇处,108.891613,34.208307,108.885113,34.202307
B0L3A1VXGX,万达西安one写字楼,120201,商务住宅;楼宇;商务写字楼,科技七路与高新路交叉口西北120米,108.892410,34.207865,108.885910,34.201865
B0FFFHJTH0,丈八一号,120302,商务住宅;住宅区;住宅小区,丈八四路,108.866900,34.201208,108.860400,34.195208
B0FFFO3R8W,丈八东村窗帘,120000,商务住宅;商务住宅相关;商务住宅相关,丈八东村17-6电话,108.853597,34.200324,108.847097,34.194324
B0L1ALK7OJ,丈八东社区1号商业楼,120201,商务住宅;楼宇;商务写字楼,丈八六路与瞪羚路交叉口西南340米,108.853575,34.200375,108.847075,34.194375
B0FFFF3GRJ,丈八北社区,120302,商务住宅;住宅区;住宅小区,丈八六路与丈八西路交叉口西南150米,108.855341,34.197415,108.848841,34.191415
B0L1GXCCFM,丈八北路7号综合楼,120201,商务住宅;楼宇;商务写字楼,丈八北路与大寨路交叉口南200米,108.871875,34.243225,108.865375,34.237225
B0K6GA0GP8,丈八北路8号院,120302,商务住宅;住宅区;住宅小区,丈八北路8号,108.872521,34.242840,108.866021,34.236840
B001D09KGD,丈八北路北段9号院,120302,商务住宅;住宅区;住宅小区,丈八北路9号,108.872913,34.242234,108.866413,34.236234
B001D0VHMD,丈八南社区,120302,商务住宅;住宅区;住宅小区,西高新丈八六路,108.854447,34.199471,108.847947,34.193471
B001D0VRTO,丈八家园,120302,商务住宅;住宅区;住宅小区,丈八西路11号,108.866466,34.199673,108.859966,34.193673
B0FFGBWL5J,丈八宾馆家属院,120300,商务住宅;住宅区;住宅区,科技八路辅路与丈八北路交叉口西南60米,108.874102,34.204327,108.867602,34.198327
B0LKY548OZ,丈八新村,120000,商务住宅;商务住宅相关;商务住宅相关,丈八六路与丈八西路交叉口西南180米,108.856173,34.196828,108.849673,34.190828
B001D077YZ,丈八沟碧水源,120302,商务住宅;住宅区;住宅小区,科技七路,108.878378,34.208428,108.871878,34.202428
B0FFG8RWXT,丈八街道办事处东辛庄社区服务站,130106|120304,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|商务住宅;住宅区;社区中心,西安高新区第三十三小学西门旁,108.877707,34.233291,108.871207,34.227291
B0FFGA169O,丈八街道家属院,120300,商务住宅;住宅区;住宅区,高新六路49号,108.877769,34.217048,108.871269,34.211048
B001D10XF8,丈八西社区,120302,商务住宅;住宅区;住宅小区,丈八六路与丈八西路交叉口西南240米,108.855440,34.196559,108.848940,34.190559
B0K1DUKDJP,丈八西社区新安1区,120302,商务住宅;住宅区;住宅小区,丈八六路与锦业路交叉口西北280米,108.855044,34.196044,108.848544,34.190044
B0LR0OPAL3,三五一一文创科技园C2号楼,120100,商务住宅;产业园区;产业园区,漳浒寨街道三五一一社区民洁路2号叁伍壹壹TFEP文创园,108.878525,34.249525,108.872025,34.243525
B001D0W077,三五一一社区,120302,商务住宅;住宅区;住宅小区,昆明路2号,108.880001,34.250763,108.873501,34.244763
B0HAYH0QTF,三五零七服装产业园,120100,商务住宅;产业园区;产业园区,昆明池路与昆明路交叉口西南460米,108.865927,34.249020,108.859427,34.243020
B001D0WT46,三五零七社区,120302,商务住宅;住宅区;住宅小区,昆明路3507社区附近,108.865840,34.249121,108.859340,34.243121
B001D0VHGX,三四零二社区,120302,商务住宅;住宅区;住宅小区,枣园西路162号(枣园地铁站C东南口步行180米),108.860192,34.278432,108.853692,34.272432
B0FFKURNYV,三幼小区,120000,商务住宅;商务住宅相关;商务住宅相关,长安青年南街南220号,108.942697,34.147227,108.936197,34.141227
B0L2P1QXDS,三幼小区北楼,120302,商务住宅;住宅区;住宅小区,青年南街与韦曲南街交叉口北180米,108.942825,34.147125,108.936325,34.141125
B0FFJQ2NM5,三桥街办红光路社区,120302,商务住宅;住宅区;住宅小区,红光路与阿房路交叉口西320米,108.850619,34.260133,108.844119,34.254133
B0FFF65BI1,上上国际,120201,商务住宅;楼宇;商务写字楼,太白南路与科技路十字向南200米路西,108.915544,34.223416,108.909044,34.217416
B0FFHU65E8,上上城,120302,商务住宅;住宅区;住宅小区,太白南路甲字6号西北方向60米,108.914609,34.223713,108.908109,34.217713
B0KK77P2LQ,上和宸院,120302,商务住宅;住宅区;住宅小区,西斜路与桃园北路辅路交叉口西北40米,108.900566,34.275504,108.894066,34.269504
B0G1MZUQID,上林广场,120000,商务住宅;商务住宅相关;商务住宅相关,陕西师范大学长安校区东1门,108.897854,34.155806,108.891354,34.149806
B0LUM42TKG,不夜城福居屋,120000,商务住宅;商务住宅相关;商务住宅相关,雁南三路与慈恩西路交叉口西南220米,108.958925,34.203125,108.952425,34.197125
B0LRZK1JQS,专家公寓,120000,商务住宅;商务住宅相关;商务住宅相关,科技一路与高新六路交叉口西南200米,108.875675,34.227041,108.869175,34.221041
B0L21RUB01,专家公寓C座,120200,商务住宅;楼宇;楼宇相关,科技二路77号西安光电园,108.875675,34.227041,108.869175,34.221041
B0FFH1UAA1,世纪商务大厦八层商务指南,120201,商务住宅;楼宇;商务写字楼,吉祥路与永松路交叉口西北200米,108.921000,34.224074,108.914500,34.218074
B0FFG3ELLQ,东凹里新苑,120302,商务住宅;住宅区;住宅小区,石桥立交与昆明路交叉口东北160米,108.842971,34.253490,108.836471,34.247490
B0FFFO3NR6,东凹里村小区,120302,商务住宅;住宅区;住宅小区,红光桥与西三环辅路交叉口东100米,108.841951,34.257922,108.835451,34.251922
B001D11X03,东尚·蜂鸟,120302,商务住宅;住宅区;住宅小区,丈八六路60号,108.854667,34.181388,108.848167,34.175388
B001D09PDT,东尚·观湖,120302,商务住宅;住宅区;住宅小区,城西团结西路28号(团结路与汉城路交汇处西南800米),108.862148,34.263389,108.855648,34.257389
B001D09KRE,东方·米兰,120302,商务住宅;住宅区;住宅小区,大寨路2号,108.879601,34.244109,108.873101,34.238109
B0FFGJU337,东方米兰国际城,120302,商务住宅;住宅区;住宅小区,鱼镐路附近,108.849274,34.232790,108.842774,34.226790
B0L6FABDC7,东晁嘉苑,120302,商务住宅;住宅区;住宅小区,西三环路南段与天谷二路交叉口东160米,108.843642,34.232462,108.837142,34.226462
B0I2TDUHWN,东晁悦府,120302,商务住宅;住宅区;住宅小区,鱼化寨,108.840701,34.232763,108.834201,34.226763
B0LR0OP4YW,东桃园6号商业楼,120201,商务住宅;楼宇;商务写字楼,西市二路与二环南路西段辅路交叉口西北80米,108.904175,34.242325,108.897675,34.236325
B0FFF654HR,东桃园社区便民服务站,120304|070000,商务住宅;住宅区;社区中心|生活服务;生活服务场所;生活服务场所,西市二路西市东桃园社区,108.904971,34.243264,108.898471,34.237264
B0LD6XJBUP,东湖社区,120302,商务住宅;住宅区;住宅小区,丈八西路与西三环路南段交叉口东260米,108.849543,34.198868,108.843043,34.192868
B0FFGXBMU9,东滩社区,120302,商务住宅;住宅区;住宅小区,西三环与丈八西路交汇处东100米,108.850416,34.199680,108.843916,34.193680
B001D0WPGA,东滩社区北区,120302,商务住宅;住宅区;住宅小区,丈八六路,108.849237,34.200634,108.842737,34.194634
B0FFGIF76O,东滩社区南区,120302,商务住宅;住宅区;住宅小区,丈八西路,108.847751,34.197180,108.841251,34.191180
B0L2BRLS6B,东祝社区,120302,商务住宅;住宅区;住宅小区,星虹一路与振业路交叉口西南180米,108.831000,34.151000,108.824500,34.145000
B0KBXADFDJ,东祝社区,120000,商务住宅;商务住宅相关;商务住宅相关,西部大道145号,108.826712,34.176162,108.820212,34.170162
B0K3OZUYBF,东第五桥村小区,120302,商务住宅;住宅区;住宅小区,郭杜街道第五桥村小区,108.881181,34.168111,108.874681,34.162111
B0LGAAMY0U,东第五桥村小区东一区,120302,商务住宅;住宅区;住宅小区,文苑北路与西部大道交叉口南220米,108.880719,34.169267,108.874219,34.163267
B0LGAAL0QX,东第五桥村小区西一区,120302,商务住宅;住宅区;住宅小区,樱花二路与沣经四路交叉口西360米,108.880613,34.166326,108.874113,34.160326
B0LGAAMY0X,东第五桥村小区西二区,120302,商务住宅;住宅区;住宅小区,樱花二路与沣经四路交叉口西280米,108.881540,34.166344,108.875040,34.160344
B0FFHEOFN9,东第五桥村综合办公楼,120201,商务住宅;楼宇;商务写字楼,文苑北路与西部大道交叉口南280米,108.880937,34.168819,108.874437,34.162819
B001D08B7U,东航公寓,120302,商务住宅;住宅区;住宅小区,西市北路28号(丰庆公园地铁站D口步行340米),108.902971,34.247192,108.896471,34.241192
B001D08ZJY,东郭家口村,190108|120000,地名地址信息;普通地名;村庄级地名|商务住宅;商务住宅相关;商务住宅相关,红庙坡街道丰禾路南,108.898658,34.280325,108.892158,34.274325
B0MBNRUFR5,东郭家口村110号院,120302,商务住宅;住宅区;住宅小区,丰禾路与杏园路交叉口南220米,108.897295,34.278742,108.890795,34.272742
B0LRLLO26O,东风楼小区,120302,商务住宅;住宅区;住宅小区,昆明路33号,108.876686,34.253166,108.870186,34.247166
B001D06E0Q,东馨花园,120302,商务住宅;住宅区;住宅小区,丈八沟街道高新六路,108.879233,34.233720,108.872733,34.227720
B0J2RCRO37,丝路创智谷,120100,商务住宅;产业园区;产业园区,纬三十六路,108.829523,34.134443,108.823023,34.128443
B0L1PU6VZU,丝路创智谷1号楼,120100,商务住宅;产业园区;产业园区,纬三十六路丝路创智谷,108.828725,34.134975,108.822225,34.128975
B0L1Z7OAQ7,丝路创智谷4号楼,120100,商务住宅;产业园区;产业园区,纬三十六路丝路创智谷,108.827225,34.134775,108.820725,34.128775
B0LR0OPBCZ,丝路创智谷6号楼,120100,商务住宅;产业园区;产业园区,纬三十六路丝路创智谷,108.828275,34.133825,108.821775,34.127825
B0L3A1XDIN,丝路国际中心B座,120201,商务住宅;楼宇;商务写字楼,桃园南路1号丝路国际金融中心,108.901875,34.243375,108.895375,34.237375
B0GRMH1BK0,丝路国际金融中心,120201,商务住宅;楼宇;商务写字楼,桃园南路1号(丰庆公园地铁站C1口步行460米),108.902445,34.243538,108.895945,34.237538
B0FFKZHCE1,丝路硅巷,120100,商务住宅;产业园区;产业园区,丈八四路辅路与锦业路交叉口西北40米,108.869044,34.194160,108.862544,34.188160
B0IKN77XUW,丝路科学城(建设中),120100,商务住宅;产业园区;产业园区,西太路800号,108.833060,34.137045,108.826560,34.131045
B0FFHLYMQX,两岸水城,120302,商务住宅;住宅区;住宅小区,丰镐西路与汉城南路交叉口东40米,108.872511,34.259575,108.866011,34.253575
B0M6O7MS68,中交一公院家属区,120000,商务住宅;商务住宅相关;商务住宅相关,科技二路与唐延路交叉口东北100米,108.890500,34.226400,108.884000,34.220400
B0KD0S1YOB,中交智慧交通产业园,120100,商务住宅;产业园区;产业园区,纬十九路与上林苑三路交叉口东南320米,108.823805,34.158505,108.817305,34.152505
B0FFIUAJ3Q,中交科技城,120100,商务住宅;产业园区;产业园区,纬二十六路与经三十路交叉口西北120米,108.822148,34.156241,108.815648,34.150241
B0LU66IFPB,中交科技城-东区,120100,商务住宅;产业园区;产业园区,纬二十六路与经三十路交叉口东北100米,108.823375,34.155825,108.816875,34.149825
B0LR0OPCSZ,中交科技城10号楼,120100,商务住宅;产业园区;产业园区,纬二十六路中交科技城西区,108.822125,34.156225,108.815625,34.150225
B0L1ANINDG,中交科技城4-5栋,120100,商务住宅;产业园区;产业园区,纬二十六路与经三十路交叉口东北100米,108.823225,34.155925,108.816725,34.149925
B0L0OUIMN6,中交科技城东区C栋,120100,商务住宅;产业园区;产业园区,纬二十六路与经三十路交叉口北180米,108.823025,34.156725,108.816525,34.150725
B0LR0OPIVC,中交科技城东区E栋,120100,商务住宅;产业园区;产业园区,纬二十六路与经三十路交叉口东北120米,108.823375,34.156125,108.816875,34.150125
B0L379MJIK,中交科技城东区G栋,120100,商务住宅;产业园区;产业园区,纬二十六路与经三十路交叉口东北260米,108.824175,34.157175,108.817675,34.151175
B0L1ZCOGFU,中交科技城东区K座,120201,商务住宅;楼宇;商务写字楼,中交科技城,108.824175,34.155975,108.817675,34.149975
B0L2DH8CCQ,中交科技城北区,120100,商务住宅;产业园区;产业园区,创智路与振业路交叉口东北120米,108.819625,34.155975,108.813125,34.149975
B0HRJZNI76,中交科技城西区,120100,商务住宅;产业园区;产业园区,纬二十六路,108.820588,34.156009,108.814088,34.150009
B0LR01NH63,中交科技城西区14栋,120100,商务住宅;产业园区;产业园区,纬二十六路中交科技城西区,108.821825,34.156225,108.815325,34.150225
B0L3ASSBU3,中交科技城西区4号楼,120100,商务住宅;产业园区;产业园区,纬二十六路中交科技城西区,108.821625,34.155675,108.815125,34.149675
B0L1SLQRWP,中交科技城西区A1栋,120100,商务住宅;产业园区;产业园区,纬二十六路中交科技城西区,108.822375,34.155925,108.815875,34.149925
B0LR0OP0M5,中交科技城西区A8栋,120100,商务住宅;产业园区;产业园区,纬二十六路中交科技城西区,108.821125,34.155479,108.814625,34.149479
B0LR01NPD8,中交科技城西区C1号楼,120100,商务住宅;产业园区;产业园区,纬二十六路中交科技城西区,108.821825,34.156075,108.815325,34.150075
B0LR0OOMXY,中交科技城西区C3栋,120100,商务住宅;产业园区;产业园区,纬二十六路中交科技城西区,108.819975,34.156025,108.813475,34.150025
B0LR0OP1G0,中交科技城西区D1栋,120100,商务住宅;产业园区;产业园区,纬二十六路中交科技城西区,108.821375,34.156544,108.814875,34.150544
B0L1ZRNKPK,中交科技城西区D2栋,120100,商务住宅;产业园区;产业园区,纬二十六路中交科技城西区,108.821025,34.156525,108.814525,34.150525
B0LR0OPBSW,中交科技城西区D6号楼,120100,商务住宅;产业园区;产业园区,纬二十六路中交科技城西区,108.819775,34.156425,108.813275,34.150425
B001D0270F,中交通力大厦,120201,商务住宅;楼宇;商务写字楼,科技一路,108.892830,34.228621,108.886330,34.222621
B0FFH1AZ2P,中信大厦会议楼,120201,商务住宅;楼宇;商务写字楼,丈八东路8号中心大厦(唐延路)附近,108.890972,34.200140,108.884472,34.194140
B0G33ATZDC,中关村e谷(西安)核芯空间,120100|170000,商务住宅;产业园区;产业园区|公司企业;公司企业;公司企业,天谷八路156号软件新城研发基地二期A9幢101室,108.836350,34.205660,108.829850,34.199660
B0KDJ75MBT,中兴产业园,120100,商务住宅;产业园区;产业园区,唐延南路10号,108.882436,34.185621,108.875936,34.179621
B0M6FSYQZA,中兴产业园-东区,120000,商务住宅;商务住宅相关;商务住宅相关,傅东巷与傅村北路交叉口东南120米,108.883886,34.185680,108.877386,34.179680
B0LDBACAXX,中兴产业园-西区,120100,商务住宅;产业园区;产业园区,傅村东路与傅东巷交叉口西80米,108.882392,34.184689,108.875892,34.178689
